0.0123671	205.739	-0.513499	100
0.0863954	204.652	-0.892313	100
0.00786897	367.487	-0.969872	100
0.0312091	84.3731	-1.32153	100
0.012077	307.199	-1.12612	100
0.0145373	283.616	-0.961865	100
0.0244195	450.277	-0.710054	100
0.00892979	232.236	-0.93302	100
0.0108983	164.22	-0.636573	100
0.0314162	157.234	-0.405499	100
0.00458737	3175.3	-1.45448	100
0.0351141	367.44	-0.164356	100
0.00667566	161.206	-0.938888	100
0.00982186	359.538	0.0402881	100
0.0190023	96.3936	-0.393579	100
0.0759622	56.8404	-0.458807	100
0.0451107	276.835	-0.469676	100
0.0420622	348.599	-0.714147	100
0.0193383	86.9072	-1.15909	100
0.10429	137.097	0.726989	100
0.0103178	442.629	-1.31213	100
0.0241113	377.082	2.45051	100
0.0242102	44.7419	-1.18795	100
0.473706	65.3676	0.138847	100
0.117617	92.7735	-0.107884	100
0.050699	95.1249	-0.824225	100
0.0547795	191.715	-1.01592	100
0.0330594	42.9827	-1.31554	100
0.00594169	371.477	-1.60608	100
0.00811234	325.861	-0.790163	100
0.182151	531.621	-0.147413	100
0.172326	219.447	-0.414252	100
0.00949347	240.412	0.390351	100
0.0134752	1680.34	-0.577916	100
0.0872073	159.511	0.251657	100
0.00620818	257.456	-0.977654	100
0.252854	539.295	-0.65018	100
0.00400854	422.927	-0.982881	100
0.0227033	703.928	0.279171	100
0.0925885	332.119	-0.372812	100
0.00979497	149.403	-0.957978	100
0.0434322	163.63	-0.101636	100
0.0326287	260.198	0.114703	100
0.0482259	69.0713	-0.210711	100
0.0265469	368.479	-0.292549	100
0.220711	98.4089	-0.639818	100
0.0105165	355.134	-1.18444	100
0.0032977	19437.3	-1.50237	100
0.0402441	219.153	1.22967	100
0.011519	399.678	-1.02448	100
0.0232747	350.763	-1.19447	100
0.222075	92.3637	-0.942715	100
0.0123963	636.652	-0.141109	100
0.0049733	773.497	-1.44336	100
0.0619841	358.13	-1.12932	100
0.0313992	353.866	-0.87425	100
0.00652041	3604.45	-1.25809	100
0.0481645	106.567	-0.871272	100
0.00956634	2749.84	-0.768949	100
0.00846676	177.922	-0.657251	100
0.00917437	207.808	-1.23077	100
0.0198567	490.708	-0.557848	100
0.16759	90.3917	-0.0620543	100
0.0143077	81.4332	-1.06979	100
0.0225405	497.067	-1.06197	100
0.0128176	367.508	-0.782577	100
0.0178185	230.944	-1.37165	100
0.056431	2158.82	-0.928004	100
2.712	95.2408	2.37661	100
0.0863354	57.766	-0.47997	100
0.00696413	290.194	-1.08608	100
0.0107874	2418.39	-0.921023	100
0.00293207	236.3	-2.00943	100
0.01157	470.641	-1.14158	100
0.00788424	267.807	-0.99558	100
0.00700659	436.94	-0.901045	100
0.0444255	181.768	-0.386753	100
0.0228363	82.4397	-1.19322	100
0.0195852	152.774	-0.149576	100
0.056356	341.637	-0.382978	100
0.0235473	87.3289	-0.895286	100
0.0496808	48.6544	-0.895852	100
0.222924	423.334	-0.431915	100
0.0243771	90.6771	-0.344557	100
0.0197498	497.509	-1.2979	100
0.0207761	396.957	-0.553065	100
0.0502313	302.298	0.624401	100
0.000973518	64.931	-2.003	100
0.0252081	255.167	-0.721803	100
0.0103447	122.509	-1.25764	100
0.236924	256.777	-0.37701	100
0.0101236	265.035	-0.0118092	100
0.00976674	1933.66	-0.993212	100
0.00502013	998.079	-0.496547	100
0.132153	140.627	-0.377748	100
0.0452366	80.6751	-0.435997	100
0.0119269	565.955	-0.974586	100
0.0323486	478.211	-0.189637	100
0.0363697	587.492	-0.808639	100
0.0426341	479.894	-0.497504	100
0.00587806	410.126	-1.24526	100
0.0137916	142.866	-0.735637	100
0.00388675	3021.64	-1.57496	100
0.345426	385.576	-0.51782	100
0.113709	216.415	2.01392	100
0.110796	60.4493	-0.109866	100
0.00642075	993.183	-0.69524	100
0.073968	89.5974	-0.12409	100
0.00395575	1110.65	-1.26834	100
0.630365	142.185	-0.583243	100
0.0467779	173.33	-0.999378	100
0.137888	282.579	-0.846294	100
0.0855773	192.334	0.181566	100
0.0242805	601.872	-1.06878	100
0.0969565	536.908	-0.813532	100
0.0357024	584.506	-0.194532	100
0.0114028	434.229	-0.295719	100
