0	4
1	3
2	2
3	1
4	27
5	26
6	25
7	45
8	24
9	23
10	22
11	48
12	21
13	20
14	19
15	18
16	17
17	16
18	15
19	14
20	11
21	12
22	10
23	13
24	9
25	8
26	7
27	6
28	5
29	36
30	37
31	38
32	39
33	40
34	41
35	43
36	44
37	47
38	54
39	49
40	50
41	51
42	52
43	53
44	28
45	30
46	31
47	32
48	34
49	33
50	35
51	79
52	78
53	29
54	72
55	77
56	88
57	64
58	80
59	63
60	62
61	61
62	55
63	42
64	56
65	58
66	46
67	66
68	68
69	69
70	70
71	71
72	73
73	99
74	100
75	102
76	89
77	81
78	101
79	98
80	74
81	75
82	97
83	105
84	104
85	103
86	90
87	82
88	83
89	106
90	107
91	109
92	0
93	76
94	96
95	67
96	65
97	60
98	59
99	84
100	57
101	85
102	86
103	87
104	94
105	93
106	92
107	91
108	108
109	110
110	111
111	95
