0	102
1	0  
2	10 
3	12 
4	47 
5	72 
6	44 
7	3  
8	15 
9	119
10	123
11	38 
12	63 
13	88 
14	107
15	24 
16	30 
17	83 
18	51 
19	80 
20	77 
21	110
22	97 
23	54 
24	67 
25	100
26	33 
27	74 
28	17 
29	58 
30	91 
31	114
32	93 
33	99 
34	4  
35	20 
36	45 
37	70 
38	42 
39	7  
40	23 
41	117
42	27 
43	36 
44	61 
45	86 
46	104
47	2  
48	9  
49	14 
50	48 
51	81 
52	49 
53	124
54	26 
55	120
56	39 
57	64 
58	65 
59	98 
60	78 
61	31 
62	84 
63	52 
64	89 
65	111
66	95 
67	55 
68	68 
69	16 
70	103
71	19 
72	34 
73	75 
74	59 
75	92 
76	115
77	101
78	6  
79	11 
80	22 
81	46 
82	71 
83	43 
84	121
85	1  
86	13 
87	118
88	28 
89	37 
90	62 
91	87 
92	125
93	106
94	8  
95	25 
96	29 
97	82 
98	50 
99	108
100	109
101	79 
102	40 
103	53 
104	66 
105	96 
106	32 
107	73 
108	112
109	57 
110	90 
111	94 
112	113
113	122
114	18 
115	56 
116	69 
117	41 
118	105
119	5  
120	21 
121	35 
122	76 
123	116
124	60 
125	85 
