0	32 
1	36 
2	80 
3	76 
4	72 
5	68 
6	56 
7	48 
8	40 
9	44 
10	52 
11	60 
12	64 
13	92 
14	88 
15	84 
16	93 
17	100
18	99 
19	101
20	103
21	105
22	98 
23	96 
24	94 
25	102
26	104
27	106
28	107
29	108
30	97 
31	95 
32	16 
33	20 
34	12 
35	26 
36	25 
37	24 
38	89 
39	85 
40	81 
41	61 
42	65 
43	69 
44	73 
45	29 
46	33 
47	77 
48	53 
49	57 
50	49 
51	45 
52	37 
53	41 
54	23 
55	19 
56	15 
57	90 
58	62 
59	66 
60	86 
61	82 
62	70 
63	78 
64	54 
65	58 
66	74 
67	34 
68	46 
69	50 
70	30 
71	38 
72	42 
73	22 
74	18 
75	14 
76	21 
77	17 
78	13 
79	91 
80	63 
81	59 
82	51 
83	55 
84	67 
85	87 
86	43 
87	47 
88	79 
89	71 
90	83 
91	35 
92	39 
93	75 
94	31 
95	8  
96	0  
97	4  
98	27 
99	121
100	28 
101	11 
102	7  
103	3  
104	2  
105	10 
106	6  
107	9  
108	5  
109	1  
110	113
111	109
112	123
113	122
114	116
115	112
116	115
117	111
118	114
119	110
120	118
121	117
122	124
123	120
124	119
125	125
